"","","Distribution of road traffic deaths by type of road user (%)","Distribution of road traffic deaths by type of road user (%)","Distribution of road traffic deaths by type of road user (%)","Distribution of road traffic deaths by type of road user (%)","Distribution of road traffic deaths by type of road user (%)"
"Countries, territories and areas","Year"," Drivers/passengers of 4-wheeled vehicles"," Drivers/passengers of motorized 2- or 3-wheelers"," Cyclists"," Pedestrians"," Other/unspecified road users"
"Albania"," 2016","39.4","11.9","7.8","38.7","2.2"
"Andorra"," 2013","","50.0","","50.0",""
"Angola"," 2016","59.5","","","40.5","0.0"
"Antigua and Barbuda"," 2016","62.5","0.0","12.5","25.0","0.0"
"Argentina"," 2016","47.2","22.2","2.4","8.2","20.0"
"Armenia"," 2016","59.6","1.5","0.4","34.8","3.7"
"Australia"," 2016","60.9","19.3","2.2","14.0","3.5"
"Austria"," 2016","43.8","22.0","11.1","16.9","6.3"
"Azerbaijan"," 2016","51.8","0.9","0.9","42.0","4.3"
"Bahamas"," 2013","57.7","17.3","3.8","21.2",""
"Bahrain"," 2013","59.3","9.1","5.8","31.4",""
"Barbados"," 2016","33.3","33.3","0.0","22.2","11.1"
"Belarus"," 2016","48.5","","9.2","41.3","1.0"
"Belgium"," 2016","57.1","14.4","11.1","12.2","5.0"
"Belize"," 2016","18.8","19.8","11.9","24.8","24.8"
"Benin"," 2016","16.8","56.5","0.8","16.8","9.1"
"Bolivia (Plurinational State of)"," 2016","60.8","19.7","","2.5","17.1"
"Botswana"," 2016","63.1","0.0","2.0","24.7","10.2"
"Brazil"," 2016","23.2","31.4","3.4","18.1","24.0"
"Bulgaria"," 2016","63.8","7.8","4.9","16.7","6.8"
"Cote d'Ivoire"," 2016","11.1","35.0","0.3","40.2","13.4"
"Cambodia"," 2016","6.2","73.5","2.3","9.6","8.4"
"Canada"," 2016","64.3","10.8","2.5","15.2","7.2"
"Chile"," 2016","42.0","8.7","5.7","36.0","7.7"
"Colombia"," 2016","8.4","52.5","5.3","26.0","7.8"
"Comoros"," 2016","65.2","17.4","0.0","17.4","0.0"
